scenario,batch_balance,classifier,normalization,error_50,error_70,error_80,error_90,error_100,sd_50,sd_70,sd_80,sd_90,sd_100,n_runs_50,n_runs_70,n_runs_80,n_runs_90,n_runs_100
jama_scenario1_3,True,knn,mn,0.1214896214896214,0.1275946275946273,0.1351681957186543,0.1788766788766786,0.3926605504587153,0.0293802427729327,0.0092183570638225,0.0101056340317176,0.0257280921925584,0.068334768622151,3,3,3,3,3
jama_scenario1_3,True,knn,non,0.1306471306471306,0.1349206349206346,0.1480122324159023,0.1733821733821733,0.2042813455657493,0.0202572161453442,0.0116315988298275,0.0233058824260031,0.0239032624547644,0.0130176126322889,3,3,3,3,3
jama_scenario1_3,True,knn,qn,0.1178266178266179,0.134920634920635,0.1370030581039756,0.178876678876679,0.387767584097859,0.0252676460153542,0.0055953305188715,0.0058982573461733,0.0213849571283722,0.0630384946537366,3,3,3,3,3
jama_scenario1_3,True,knn,vsn,0.114774114774115,0.1300366300366303,0.1376146788990826,0.1794871794871793,0.420795107033639,0.026052000358183,0.0079833313984262,0.0048545895615867,0.0149914885931728,0.0662670739120822,3,3,3,3,3
jama_scenario1_3,True,lasso,mn,0.111111111111111,0.1111111111111113,0.1333333333333333,0.1483516483516483,0.2201834862385319,0.0116315988298281,0.008258699180994,0.0260998021937026,0.0228754505435839,0.03318007581656,3,3,3,3,3
jama_scenario1_3,True,lasso,non,0.1098901098901096,0.1001221001221001,0.124770642201835,0.1355311355311353,0.1951070336391437,0.0095167626789501,0.0064320230481395,0.0183486238532109,0.0211219095140489,0.0153880680433142,3,3,3,3,3
jama_scenario1_3,True,lasso,qn,0.119047619047619,0.133699633699634,0.146788990825688,0.184981684981685,0.2440366972477063,0.0190335253578997,0.0191214404925101,0.029529315485195,0.0389813125527339,0.0381810129296971,3,3,3,3,3
jama_scenario1_3,True,lasso,vsn,0.1135531135531136,0.1147741147741146,0.1467889908256883,0.1855921855921856,0.2801223241590216,0.0145370951157393,0.0046091785319112,0.0385321100917432,0.0447626441509723,0.1058881473551291,3,3,3,3,3
jama_scenario1_3,True,pam,mn,0.1746031746031746,0.1862026862026863,0.177981651376147,0.2203907203907203,0.256880733944954,0.0190628754529866,0.0173106799496431,0.0288371259550491,0.0155767409306141,0.034862385321101,3,3,3,3,3
jama_scenario1_3,True,pam,non,0.2045177045177043,0.1959706959706957,0.196941896024465,0.25030525030525,0.3376146788990826,0.0100871255444799,0.004845698371913,0.0056055971803738,0.091103793318632,0.1318932981649686,3,3,3,3,3
jama_scenario1_3,True,pam,qn,0.181318681318681,0.1923076923076919,0.1920489296636083,0.2142857142857143,0.2318042813455656,0.0190335253578997,0.0174714139453651,0.020459606952511,0.0305921118836812,0.0408780545847262,3,3,3,3,3
jama_scenario1_3,True,pam,vsn,0.1782661782661783,0.1947496947496943,0.1932721712538226,0.2271062271062273,0.2629969418960243,0.0201742510889599,0.0132494105092862,0.0170487582443621,0.0384615384615385,0.0387644082629744,3,3,3,3,3
jama_scenario1_3,True,rf,mn,0.1178266178266176,0.134920634920635,0.1437308868501526,0.1623931623931623,0.283792048929664,0.0187076354652558,0.0027976652594356,0.0233779998209373,0.0228998770860941,0.0338994653469136,3,3,3,3,3
jama_scenario1_3,True,rf,non,0.1343101343101346,0.1251526251526253,0.140672782874618,0.1691086691086693,0.1932721712538226,0.0169186892070218,0.0082586991809945,0.018470542960907,0.0177885253776966,0.0178211648738025,3,3,3,3,3
jama_scenario1_3,True,rf,qn,0.128815628815629,0.128205128205128,0.1474006116207949,0.1733821733821733,0.2807339449541283,0.02058573296714,0.0018315018315019,0.0135249812767561,0.0155767409306139,0.0397365281242344,3,3,3,3,3
jama_scenario1_3,True,rf,vsn,0.125152625152625,0.1428571428571426,0.1584097859327216,0.197191697191697,0.273394495412844,0.0121947401437351,0.01858771348918,0.0086712213325736,0.0132494105092858,0.0354370787446385,3,3,3,3,3
jama_scenario1_3,True,svm,mn,0.098901098901099,0.1074481074481076,0.1174311926605503,0.155067155067155,0.2623853211009173,0.0225058712956861,0.0046091785319112,0.0128440366972475,0.0152503003623891,0.0573229334011498,3,3,3,3,3
jama_scenario1_3,True,svm,non,0.161172161172161,0.1514041514041513,0.1565749235474006,0.1666666666666666,0.1944954128440366,0.0176623640311225,0.0069339540241758,0.0170487582443627,0.0198107212937579,0.0159959594258376,3,3,3,3,3
jama_scenario1_3,True,svm,qn,0.115995115995116,0.1166056166056166,0.1272171253822626,0.1636141636141636,0.2795107033639143,0.0313145753436682,0.0093985374348847,0.0104334691799583,0.0138679080483518,0.0274821308118177,3,3,3,3,3
jama_scenario1_3,True,svm,vsn,0.1056166056166055,0.1166056166056166,0.1259938837920489,0.1605616605616606,0.2501529051987767,0.0307197695370186,0.0124667752482671,0.0056055971803737,0.0137464349807051,0.0119383616488947,3,3,3,3,3
jama_scenario1_3,True,xgb,mn,0.1166056166056166,0.1147741147741146,0.1370030581039756,0.1831501831501829,0.2654434250764526,0.0064320230481397,0.0010574180754383,0.0105935829209105,0.0339198886033923,0.0107513124350134,3,3,3,3,3
jama_scenario1_3,True,xgb,non,0.1129426129426131,0.1214896214896216,0.1357798165137616,0.1617826617826619,0.1914373088685016,0.025267646015354,0.0139883262971793,0.0132313808273906,0.0241822983154311,0.0178211648738025,3,3,3,3,3
jama_scenario1_3,True,xgb,qn,0.114163614163614,0.1196581196581196,0.1284403669724773,0.1807081807081806,0.2807339449541283,0.0226050165831178,0.0129937708509115,0.0277058144413605,0.0201742510889596,0.0018348623853215,3,3,3,3,3
jama_scenario1_3,True,xgb,vsn,0.1282051282051283,0.1269841269841273,0.1388379204892966,0.1800976800976803,0.253822629969419,0.0132071475291722,0.014803853056144,0.0142522081929429,0.0058874546770408,0.0456999849375478,3,3,3,3,3
